Município,Ano,Agro,Indústria,Serviço,IPTU,ISS,ITBI,Vínculos,PIB
Abelardo Luz,2003,4.1892495277348445,1.9706336939721794,4.305856087927185,19.62034370414288,22.493057808876983,8.641830149458984,0.10618810464250959,12444.21
Abelardo Luz,2004,4.17770188388234,1.8935220887958577,4.334912415996475,13.00055560918872,22.471248549848298,15.855838147946349,0.11463038448826705,12575.91
Abelardo Luz,2005,3.3370204500080938,2.513030809906653,4.313063184589651,20.403954069532727,24.207850352362488,9.761368493822316,0.10570333998812928,12651.02
Abelardo Luz,2006,2.9121582315299595,2.0755195938442013,4.437516526521762,13.436053926206462,28.564527695452274,18.55899041976699,0.09640911735152573,11981.64
Abelardo Luz,2007,4.303753598479555,4.550658207328321,6.7276894267587135,16.97801467420677,31.884068013151236,15.156376718767321,0.13018809916431426,20783.75
Abelardo Luz,2008,7.052341434499111,4.884706579727327,8.533017190278601,17.238659815006166,35.88098456685596,17.404318360099523,0.14439834024896264,24759.15
Abelardo Luz,2009,6.578436593881294,6.066927037102787,11.126575537014025,22.169396845124563,42.35495924715486,34.95013066005308,0.15391443280667494,28799.27
Abelardo Luz,2010,4.9406754772393535,6.051864904552129,9.96511013215859,37.877989995481,45.82067440655689,32.28179059721151,0.15665198237885464,26091.65
Abelardo Luz,2011,6.043437700425631,9.581598740598215,16.449769692729287,43.16751645814536,43.58051805493546,21.361350364113463,0.2173051134044662,39686.46
Abelardo Luz,2012,5.748837209302326,8.536569767441861,17.963372093023256,43.4307550026,71.5818916994215,34.42441501164727,0.2294186046511628,40276.16
Abelardo Luz,2013,10.36533212010919,9.099863512283894,16.100944040036396,65.74605596870792,82.22384023436533,45.08748226895843,0.22452229299363058,43609.96
Abelardo Luz,2014,8.906407568976261,5.658262987932695,11.900968783638321,79.35588915227635,116.73780845933375,96.68087899691632,0.24049628916208712,32856.37
Abelardo Luz,2015,9.31794321837783,5.141784726533838,10.95360388327595,71.57880058471072,83.21971742779873,43.17840539730558,0.24727662696844838,31738.2
Abelardo Luz,2016,11.963783601394669,4.404735125407716,11.090990889663704,69.31591983254695,72.71474911250533,77.68434551419693,0.23456304127769656,34009.91
Abelardo Luz,2017,9.876729982630135,4.84283072785342,11.978371715134196,75.88222872941336,73.85400448712669,37.248077333278644,0.23129937804673054,33977.52
Abelardo Luz,2018,11.916568610971032,4.967613604527371,14.428979660447133,85.3185859078691,73.71296214497674,52.78034923650765,0.22709699109093964,39152.19
Abelardo Luz,2019,11.2093945487042,5.408847184986596,12.631925826630921,87.16689353969896,82.4888171877938,66.5226402186383,0.23553395889186773,36957.98
Agua Doce,2003,7.072896923749818,1.1809301647470476,2.6184575010934537,22.599800122099868,13.644460953229917,29.63113201529669,0.12800699810467997,12715.23
Agua Doce,2004,8.06098981077147,1.3736535662299854,2.813391557496361,22.048011385927364,35.97926552421761,18.47918226492984,0.1710334788937409,14148.6
Agua Doce,2005,8.08740546829552,1.2540721349621873,3.2878126817917392,23.279631076837696,50.87547983489703,16.061618788807447,0.17146596858638743,14957.6
Agua Doce,2006,8.637750653879687,2.056378959604766,3.845393780877652,22.46315457679933,51.90559261340279,27.505311124809356,0.19035164196454518,17123.91
Agua Doce,2007,8.52197166811217,2.832032379300376,4.548279849667534,28.068130424912837,67.32924415702905,15.278802294020092,0.1873373807458803,19323.6
Agua Doce,2008,11.142795513373597,3.398907103825137,9.421771642220305,23.32930478256701,42.667969619800836,33.44840411837043,0.1911130284728214,28288.32
Agua Doce,2009,13.546199166546918,3.4509268573070844,5.503520620778848,22.52308757732763,36.723740553549796,38.58018925261833,0.20520189682425635,25862.26
Agua Doce,2010,13.290882986360373,5.705240488155061,6.370997846374731,22.42255500606892,230.79458854356065,23.109908898393684,0.22440775305096913,29542.64
Agua Doce,2011,11.691866303256347,5.422034141443121,7.3812939320040165,43.592761912926264,667.899839764305,30.95286455224516,0.23138717544111317,29587.36
Agua Doce,2012,10.881501647800544,5.82705258633042,7.629746382003153,40.368736146805844,499.3284358269939,29.783261287408656,0.20490041553231123,29875.75
Agua Doce,2013,15.622503516174403,6.279324894514768,8.034739803094233,44.43995198725612,166.86523127766247,35.46987367382264,0.21054852320675105,35653.52
Agua Doce,2014,14.90141834012077,5.196320741468895,10.235781491363573,46.979957490083834,132.22350103490803,31.398212289360483,0.21921078500210645,36658.43
Agua Doce,2015,15.506730229949524,4.097027481772294,11.573892316320809,48.40491265372785,98.156698749386,46.820614691698964,0.22728547392035894,38357.44
Agua Doce,2016,19.742965140697187,4.034719305613888,12.822763544729105,45.17447244989934,106.93335082880567,43.31263369298124,0.23155536889262215,44487.17
Agua Doce,2017,17.39544310875035,3.196812971764048,12.698490355046127,46.15589351391096,120.53394417580724,83.47688821570925,0.23050041934582052,41653.72
Agua Doce,2018,16.271644718408517,3.5815354441019895,13.72107032782292,47.129516751478285,120.6662358122729,53.097706014154106,0.24068366489212664,43535.68
Agua Doce,2019,19.846186144156754,4.454163750874738,14.923442967109867,56.414955480580545,186.10193371183345,74.1830350392736,0.24408677396780964,49862.93
Aguas Frias,2003,3.119724375538329,0.8811369509043928,1.8488372093023255,21.626855934849914,21.102345209472308,13.731456022556417,0.10852713178294573,8247.64
Aguas Frias,2004,3.473010064043916,0.9675205855443733,2.378316559926807,23.11284852986496,20.51644097387955,23.542086827253158,0.11573650503202196,9184.46
Aguas Frias,2005,3.808712121212121,1.0776515151515151,3.3016098484848486,30.43744486004806,19.231753976339252,14.207820186527982,0.1553030303030303,10978.37
Aguas Frias,2006,3.4536082474226806,1.4648993618065782,4.051546391752577,18.840805776080117,27.768620146476632,18.175186827622237,0.1791850760922926,12168.71
Aguas Frias,2007,3.2987791818376526,1.8337973870207753,5.909616620261298,22.504679047792933,45.271849686838294,10.283162909846263,0.1524951809809381,13714.03
Aguas Frias,2008,4.708206686930091,1.8738601823708207,6.691489361702128,22.675255342411248,31.546227245288833,11.824396021705738,0.15425531914893617,17450.96
Aguas Frias,2009,4.232866338508141,2.2544490723210906,6.1117001135933355,29.42881305567698,28.642721837339494,10.260580135589473,0.17379780386217342,16922.95
Aguas Frias,2010,3.9873467773823648,1.497429814155793,7.610122578094108,36.044720255813324,38.603814344172676,17.90873754739466,0.1423487544483986,18832.44
Aguas Frias,2011,3.7765825403392634,2.0095159288374016,8.909805544062888,26.33061468533372,88.8362611317203,24.22625922673012,0.209764170459247,20582.41
Aguas Frias,2012,3.5197177251971774,12.69074304690743,19.42714819427148,25.826091813443963,63.911084480048565,16.123517295448732,0.20174346201743462,46799.46
Aguas Frias,2013,7.211934156378601,11.48641975308642,18.795061728395062,34.15641630298128,38.261219457608554,16.30437240482572,0.22469135802469137,48194.32
Aguas Frias,2014,6.66804464654816,5.249689954526664,9.358825961140967,29.55128053770546,110.7953163017809,23.585823305645555,0.23150062009094668,28896.96
Aguas Frias,2015,6.430647840531561,5.362956810631229,10.229651162790697,33.52984442115054,70.03910019646429,11.363544604095846,0.2292358803986711,30039.86
Aguas Frias,2016,8.586149353358365,6.484772632457238,12.111389236545682,39.905964354132166,72.94035007495911,22.005982964237127,0.22236128493950771,36543.26
Aguas Frias,2017,9.037285295349811,6.200251361541684,13.42563887725178,54.92603455146376,80.25305330883954,44.78326480579137,0.24507750314201926,39089.69
Aguas Frias,2018,7.973927670311186,8.720773759461732,13.375105130361648,54.68055790199748,124.63967418220943,27.65725840035559,0.2657695542472666,41610.36
